Brownian;Equiprobable;Custom;Lévis
348.9330669;143.0729271;149.5114885;131.4015984
146.998002;183.1288711;157.3036963;160.7702298
305.3326673;265.1748252;116.3896104;162.1308691
201.0549451;146.6733267;167.6073926;112.2357642
187.4035964;122.2847153;112.8431568;152.2937063
202.6973027;141.5704296;143.1388611;140.1908092
183.963037;173.4135864;122.999001;127.3966034
153.4595405;229.4915085;115.4055944;119.033966
152.1528472;152.4855145;117.4955045;148.3406593
166.0919081;146.4805195;170.1528472;106.6103896
271.1488511;196.8981019;195.4785215;132.6453546
136.8651349;190.2907093;127.966034;121.8261738
450.0759241;196.5994006;120.5854146;148.2967033
250.3826174;135.5424575;148.7262737;114.5454545
197.3056943;186.5224775;153.0529471;151.5034965
285.2617383;218.3076923;148.8481518;114.8501499
137.8031968;140.2457542;154.1548452;144.1528472
154.3916084;124.1668332;135.2787213;121.3156843
239.3146853;139.8331668;134.0849151;141.8231768
192.6723277;235.1958042;124.6613387;122.4795205
164.3056943;163.1788212;138.5674326;128.95005
195.4685315;147.2697303;103.1308691;134.1498501
135.1418581;170.7812188;166.2647353;182.997003
124.3976024;177.4795205;112.2517483;182.7392607
201.954046;140.4965035;97.68531469;115.4725275
243.1358641;142.015984;165.7442557;117.5224775
156.7652348;171.95005;155.02997;145.1198801
164.2127872;142.5114885;148.5194805;130.5574426
196.1908092;174.5074925;176.5294705;148.8931069
156.3156843;198.9490509;112.1898102;140.5984016
207.048951;179.2277722;142.6553447;136.953047
364.6133866;192.9000999;125.1218781;122.1028971
271.8861139;177.7592408;120.3856144;122.0749251
147.3066933;171.9350649;146.1928072;216.1928072
208.3976024;215.0869131;111.8221778;132.1298701
282.6423576;252.8201798;198.5004995;122.7542458
175.6733267;119.1548452;217.1468531;171.985015
223.6613387;135.6033966;153.7482517;125.4015984
262.5954046;190.8911089;226.7292707;110.8911089
378.3666334;179.997003;164.8391608;149.1118881
141.6183816;164.6013986;132.988012;158.8231768
140.3926074;140.6853147;160.3126873;180.1048951
302.8091908;153.3296703;129.0839161;118.986014
179.0689311;161.4305694;135.7192807;137.1418581
186.3066933;160.7122877;116.2317682;152.1508492
141.0879121;255.3906094;100.1388611;138.2847153
188.014985;225.4255744;145.7502498;101.1238761
190.3946054;151.9280719;127.7962038;153.8681319
294.4295704;124.2837163;171.7272727;131.8211788
186.3096903;166.8021978;119.4405594;149.2237762
157.979021;208.5274725;134.3966034;111.5864136
456.1478521;163.8581419;150.7882118;124.5214785
147.3156843;161.6713287;129.2207792;122.5034965
204.7382617;225.6743257;189.6053946;112.1008991
159.9390609;180.0799201;145.3196803;159.1418581
326.0869131;181.4525475;109.999001;141.021978
277.4455544;228.6173826;122.4815185;126.5244755
224.6263736;164.8101898;137.5294705;179.4345654
226.5654346;198.996004;113.7652348;125.2887113
346.9430569;123.1868132;100.5584416;193.8521479
108.963037;131.6633367;156.2757243;193.4565435
159.2137862;134.9090909;151.4115884;133.2517483
169.6733267;135.977023;197.3146853;195.5094905
235.0829171;172.025974;186.8761239;85.98301698
179.4405594;181.958042;176.5144855;127.4705295
140.8781219;132.5094905;143.025974;140.6693307
168.4475524;178.5004995;104.9440559;126.4855145
210.981019;160.6593407;101.4815185;115.996004
176.8211788;145.4375624;156.994006;116.4505495
417.4895105;187.4315684;110.6763237;108.6713287
164.5784216;129.5464535;151.5834166;149.1028971
152.7882118;197.8821179;152.7932068;180.7712288
158.8181818;198.4075924;151.8211788;136.7172827
242.5394605;185.3906094;148.2927073;160.1578422
184.1998002;175.5324675;117.2857143;122.033966
304.5894106;163.6133866;143.8791209;119.6333666
227.2907093;253.0839161;154.4405594;205.5854146
237.4715285;123.8091908;152.1798202;140.3476523
234.3606394;187.2027972;156.2087912;169.9400599
120.3756244;140.0559441;216.9170829;140.7202797
214.7092907;188.3376623;185.987013;142.984016
142.2207792;150.3016983;167.5204795;125.4005994
193.8681319;154.7062937;111.4445554;92.86013986
210.7952048;120.0529471;105.0659341;135.9370629
267.7622378;143.8151848;165.2137862;162.4925075
262.2477522;177.8451548;108.8871129;163.4635365
209.3836164;119.7132867;121.5284715;176.3606394
269.5844156;138.04995;105.0689311;135.5534466
179.5514486;188.0649351;213.4915085;161.985015
224.7282717;133.6193806;124.4625375;111.5294705
162.3546454;164.3586414;146.4075924;141.2797203
164.7282717;186.8171828;160.7622378;121.9060939
156.3456543;306.6093906;149.3946054;129.6533467
203.3236763;197.1488511;202.0559441;133.4685315
476.2817183;124.7632368;248.959041;178.3546454
149.8181818;156.4785215;241.7432567;134.0909091
166.2177822;153.986014;119.0899101;109.9360639
280.2687313;154.4065934;175.7372627;118.9330669
188.0539461;171.7962038;112.951049;151.9460539
330.1958042;125.7262737;206.0519481;139.01998
