Brownian;Equiprobable;Custom;Lévis
856.5841584;1394.138614;1053.811881;985.6534653
1588.940594;901.3267327;900.4554455;849.8217822
862.970297;1204.70297;791.019802;898
2126.712871;1062.861386;1473.148515;766.029703
876.3366337;1535.90099;1075.19802;881.950495
1312.227723;1271.29703;1379.158416;676.1485149
840.3069307;1097.405941;1029.188119;939.3564356
1209.306931;1325.257426;1006.039604;1012.950495
2019.247525;858.5247525;909.5742574;783.4950495
1509.09901;1159.207921;793.9405941;962.5742574
2528.178218;695.7227723;884.1287129;913.8316832
1954.405941;1475.841584;1548.247525;828.019802
1130.207921;1414.326733;849.5841584;1051.49505
1550.891089;1249.455446;1082.346535;759.7128713
1562.742574;1340.29703;1073.346535;879.7128713
860.5049505;1852.891089;601.6930693;968.5049505
1539.336634;856.7722772;1580.455446;1255.752475
1368.871287;1413.277228;1235.920792;949.1188119
1850.326733;1389.039604;975.6633663;1400.247525
2763.425743;1167.168317;1223.772277;1016.683168
1069.079208;1179.19802;805.7623762;962.6039604
1671.039604;1640.782178;1074.425743;1054.168317
2211.990099;1230.415842;1351.663366;1242.841584
1486.405941;969.8613861;1169.742574;816.3267327
1188.366337;1122.554455;885.039604;952.0891089
1247.326733;861.5643564;884.1980198;719.5841584
1760.415842;1206.217822;621.6336634;839.5742574
1517.445545;1152.970297;778.1485149;1029.148515
878.2673267;944.990099;652.960396;1581.623762
1967.29703;1145.70297;1573.465347;971.1584158
1191.663366;1142.386139;1380.920792;568.8118812
1166.80198;2572.514851;951;752.0594059
928.1980198;728.1683168;869.1485149;1046.326733
1630.940594;1446.475248;1012.514851;919.9009901
1542.930693;928.7722772;2450.762376;1292.316832
960.7821782;1567.821782;946.5346535;601.6138614
1249.138614;1333.564356;1224.584158;842.3168317
1245.633663;1003.029703;862.4257426;1280.049505
2036;1481.049505;840.049505;589.3960396
1641.90099;1444.782178;959.3762376;546.4158416
2376.247525;1644.683168;1083.326733;1229.237624
1281.782178;1287.940594;1155.316832;623.4356436
2508.455446;1360.693069;1269.049505;1280.267327
2364.722772;719.3267327;870.1980198;976.970297
1578.39604;681.960396;1093.455446;693.3564356
1478.356436;1467.782178;895.2178218;997.5346535
1599.930693;1054.247525;1008.574257;937.7524752
2152.851485;1303.851485;624.960396;1160.217822
1458.990099;1169.891089;831.2079208;683.5841584
1348.524752;970.7920792;543.1584158;900.4950495
1594.257426;1624.762376;1171.554455;773.5544554
1404.069307;999.6633663;660.1485149;1185.267327
1336.910891;1038.287129;1492.485149;678.4356436
2779.287129;806.1386139;754.1188119;957.5148515
882.9306931;886.3465347;1029.158416;856
2148.722772;948.5148515;1461.752475;723.4653465
1907.50495;1133.108911;809.4554455;607.9405941
1435.554455;847.5148515;1000.673267;1021.623762
1658.029703;944.8217822;719.2079208;1032.623762
1661.415842;925.4653465;836.6039604;1000.821782
1389.841584;945.1188119;1156.841584;877.5445545
1359.990099;846.8118812;1008.653465;873.8316832
1615.108911;994.6336634;899.4455446;776.019802
1247.742574;1330.821782;839.990099;706.6336634
1604.445545;1097.653465;1112.574257;947.0990099
1416.128713;1354.910891;1012.128713;978.3564356
1235.178218;1045.970297;1186.089109;907.5742574
1403.118812;1286.455446;792.7029703;992.5148515
1128.811881;937.1287129;1043.653465;1021.405941
1638.574257;1030.128713;775.1584158;724.9306931
1587.782178;1360.148515;1026.613861;1500.405941
1809.633663;1767.29703;1300.277228;1141.564356
1374.693069;1379.663366;1762.09901;768.5148515
1071.990099;1049.70297;897.6732673;739.9108911
1178.891089;794.2178218;799.3564356;909.7623762
1277.089109;2154.435644;1303.465347;779.4653465
1417.970297;1265.821782;777.7821782;979.029703
1374.158416;1550.465347;735.7821782;990.3267327
1373.148515;873.7623762;906.1881188;806.3069307
1416.871287;1009.772277;974.1782178;861.4158416
1126.732673;876.950495;857.3069307;1046.128713
2149.376238;2337.346535;1461.128713;1303.485149
1828.316832;1405.485149;1011.910891;987.8316832
1453.70297;791.1881188;893.1188119;816.8514851
3649.673267;1387.752475;912.990099;586.6930693
1020.60396;887.4059406;899.5247525;704.0693069
728.8613861;1357.366337;998.960396;799.3069307
1755.09901;1154.930693;1168.415842;1115.475248
1627.792079;1331.435644;814.6930693;675.1188119
1867.227723;1049.118812;955;1067.178218
1558.940594;847.8415842;1573.049505;1347.425743
1181.831683;1091.465347;881.4257426;756.990099
2687.207921;784.039604;861.7425743;803.0891089
1977.455446;1500.069307;1069.277228;1183.237624
1368.39604;1155.49505;864.0792079;1129.821782
1316.029703;1498.594059;1592.653465;845.2475248
1732.792079;930.6039604;1578.326733;967.7425743
1190.267327;1282.811881;810.0792079;666.1485149
1927.376238;942.4158416;646.0594059;858.6930693
1125.782178;1471.128713;1337.940594;861.2178218
