Brownian	Equiprobable	Custom	Lévis
15572	11248	9452	1409,5
1139	9194	6912	5752,5
549,5	1139,5	31057,5	8484
3312,5	2350,5	1065	3091,5
1049	13572	5091	6646
16257,5	7305	8660,5	14713
7493	2830	2195	2771
17138	29634	19985,5	1032,5
47498	248	2876,5	6315
52524,5	23439,5	104	24721,5
20750	37689,5	26124	2945
17940,5	4891,5	17616	25705,5
24248	54742,5	22113,5	10286
1194,5	38881,5	4412,5	19305,5
10331	2081,5	8327,5	3180,5
453,5	3823	198,5	8678
27870,5	630	9929,5	4190
5259,5	319,5	954,5	18360
11054	3069,5	11842	16286,5
41876	2104	3440	120
25115	11506	28758	16690,5
15192,5	3028	2616,5	7373,5
20462	271	14827	1839,5
2304,5	12,5	12754,5	8997,5
5219	4669,5	943	4648
11201	9107	9408,5	18837
6906,5	61	13475,5	1717,5
7439	11334,5	16132,5	6713,5
22722,5	31528,5	91	2278,5
9464	23321,5	3528	284,5
8600	3380	4691	2441
39264,5	1828	940,5	5912,5
21923	755,5	8933,5	22679
14567	3821	3417,5	1488,5
10884,5	5169,5	4249,5	8093,5
12350	14086,5	978	2705,5
18438,5	4607,5	1414	1503
13242,5	25554,5	3917	5292
20291	3395,5	35475	1868,5
28380,5	12262	11882,5	1362
31686,5	9345,5	38461,5	4140
5868,5	17095,5	17505	23774
225,5	18984	6053	5103
4865	21740	4646,5	1040,5
2858	17590,5	21403,5	13560,5
22512,5	24777	17544,5	10271,5
17790,5	16609,5	386	4569
41309	4012,5	32503,5	5767
20985,5	5523	13342	11041,5
13781	798	4358	9036
1587,5	364	12499,5	636
4908,5	6010,5	33227,5	10662
28067	26157	1499	12268
8690	5847,5	17034	1250,5
7251,5	2168,5	400,5	6076
1295	1950,5	2243	106,5
11210	11700,5	14949,5	3369
41001,5	12460,5	4361,5	10826
20196,5	19006,5	9303,5	4893
324,5	13629,5	23034,5	23707,5
13922	12908	7653	14690
28152,5	1741	8205,5	884,5
6692	41	10958	1953,5
20765	27259,5	806	1060,5
10505	7881	9949,5	17458
14222	23945	4548	6893
12053	67457,5	5068	6106,5
10484	7143,5	7904	19693
43253	19843,5	16325,5	5379
4817	5494,5	599,5	9096
30102,5	6921,5	8009	613
4008,5	10253	9404,5	1096
2264	18316,5	13792	4006
6851	2250,5	19246	5544
20073,5	4210,5	7784	9426
3156,5	28901,5	17827	5637,5
1911,5	11558,5	8312,5	747
7961	3177,5	43448,5	27079
150,5	8771	12071,5	14453,5
24450,5	4690	2418	2803,5
25964	14920	13448,5	2428
15630,5	5123,5	13867,5	5243
21602	12000,5	19432	315,5
16530,5	10791,5	4387,5	6414,5
11919,5	14027,5	22003,5	26250
7295	2455	13395,5	4936
1415	37	7767	868
20229,5	7727	7730	18910,5
10308,5	17091	40841	9331,5
41943,5	18275	40327,5	11580
3699,5	10511	18844,5	25158,5
16077,5	11573,5	2231,5	37077,5
12044	9383	2966,5	8765,5
2537	31081,5	4246	5025,5
1433	3982,5	12857,5	9244
46995,5	4419	26086,5	7936
7665,5	13287,5	4445,5	237
14040,5	52	20752,5	6115,5
8933	19651,5	1825	6776,5
9528,5	16690,5	701	18263,5
